periode,dimension,valeur,cessions,prix_median_eur,ic95_median_bas_eur,ic95_median_haut_eur,premier_quartile_eur,troisieme_quartile_eur,prix_minimum_retenu_eur,inclus_dans_mediane_nationale,variation_mediane_vs_meme_semestre_pct,ic95_variation_bas_pct,ic95_variation_haut_pct,variation_significative
2025-S1,national,"France entière, hors santé et pharmacie",579,481000,450000,500000,357466,800000,300000,oui,,,,
2025-S1,secteur,Automobile,67,450000,364931,495421,334634,640000,300000,oui,,,,
2025-S1,secteur,BTP et construction,114,450000,400000,500000,350000,700000,300000,oui,,,,
2025-S1,secteur,Commerce de gros,68,500000,450000,600000,398289,728137,300000,oui,,,,
2025-S1,secteur,Immobilier,32,409600,363000,464659,350000,500000,300000,oui,,,,
2025-S1,secteur,Industrie et production,115,609000,500000,814970,400000,1200000,300000,oui,,,,
2025-S1,secteur,Santé et pharmacie,391,1200000,1100000,1299274,600000,1875000,300000,non,,,,
2025-S1,secteur,Services aux entreprises,96,510000,480000,600000,390000,960000,300000,oui,,,,
2025-S1,secteur,Transport et logistique,87,500000,410000,600000,360000,779883,300000,oui,,,,
2025-S1,région,Auvergne-Rhône-Alpes,96,440000,398289,479786,350000,720000,300000,oui,,,,
2025-S1,région,Bretagne,37,650000,500000,948374,431973,1359778,300000,oui,,,,
2025-S1,région,Grand Est,53,468000,400000,510000,320000,600000,300000,oui,,,,
2025-S1,région,Hauts-de-France,36,525000,450000,630000,425000,731000,300000,oui,,,,
2025-S1,région,Nouvelle-Aquitaine,64,447001,400000,500000,350000,866990,300000,oui,,,,
2025-S1,région,Occitanie,44,500000,441194,599873,380000,612578,300000,oui,,,,
2025-S1,région,Pays de la Loire,36,500000,430969,670622,368000,880000,300000,oui,,,,
2025-S1,région,Provence-Alpes-Côte d'Azur,59,456014,430000,550000,350000,700000,300000,oui,,,,
2025-S1,région,Île-de-France,95,580000,500000,895750,400000,2200000,300000,oui,,,,
2026-S1,national,"France entière, hors santé et pharmacie",593,480111,450000,500000,350000,757768,300000,oui,-0.2,-10.0,9.5,non
2026-S1,secteur,Automobile,73,423000,359927,484261,340000,580000,300000,oui,-6.0,-20.5,22.9,non
2026-S1,secteur,BTP et construction,147,431300,400000,479700,350000,600000,300000,oui,-4.2,-14.0,12.5,non
2026-S1,secteur,Commerce de gros,62,600000,428000,715631,365000,1050000,300000,oui,20.0,-16.7,56.9,non
2026-S1,secteur,Immobilier,39,494074,400000,580000,363979,800000,300000,oui,20.6,-4.8,56.8,non
2026-S1,secteur,Industrie et production,100,530000,495000,600000,368178,900000,300000,oui,-13.0,-37.0,12.2,non
2026-S1,secteur,Santé et pharmacie,295,1150000,1000000,1300000,610000,1800000,300000,non,-4.2,-15.3,11.0,non
2026-S1,secteur,Services aux entreprises,84,530252,451340,616812,400000,1115000,300000,oui,4.0,-16.4,21.0,non
2026-S1,secteur,Transport et logistique,88,450000,415000,560000,360000,830000,300000,oui,-10.0,-23.6,22.9,non
2026-S1,région,Auvergne-Rhône-Alpes,71,475003,420000,528914,350000,657468,300000,oui,8.0,-6.3,28.2,non
2026-S1,région,Bretagne,39,400000,350000,560000,340000,600000,300000,oui,-38.5,-57.9,-9.1,oui
2026-S1,région,Grand Est,39,495000,400000,801300,365000,941629,300000,oui,5.8,-20.0,87.3,non
2026-S1,région,Hauts-de-France,41,521062,433761,750000,363000,856805,300000,oui,-0.8,-24.8,48.4,non
2026-S1,région,Normandie,35,426000,350000,510000,338000,650000,300000,oui,,,,
2026-S1,région,Nouvelle-Aquitaine,63,480111,415000,600000,360990,851880,300000,oui,7.4,-14.0,37.0,non
2026-S1,région,Occitanie,68,500000,431300,549350,397000,644000,300000,oui,0.0,-17.7,20.6,non
2026-S1,région,Pays de la Loire,37,424600,350000,512000,323602,655000,300000,oui,-15.1,-40.4,13.6,non
2026-S1,région,Provence-Alpes-Côte d'Azur,56,440000,375000,500000,350000,600000,300000,oui,-3.5,-24.0,11.1,non
2026-S1,région,Île-de-France,87,550000,494480,625000,400000,1234567,300000,oui,-5.2,-33.7,17.2,non
